令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第１０７表　一般診療所数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・病床の有無・療養病床を有する一般診療所（再掲）別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
島　　　根,37,10,8,22,7,274,-,-,1,1,-,-,-,-,-,-,5,20,2,3,2,1,103,1,138,2,404
岡　　　山,116,60,32,175,36,2943,1,13,1,3,1,4,-,-,1,7,27,193,9,17,24,10,464,5,371,12,488
広　　　島,163,67,47,477,51,3865,1,11,9,26,9,258,-,-,4,27,42,982,17,28,37,25,1550,7,124,16,658
山　　　口,89,38,25,430,28,2196,2,220,2,4,8,66,-,-,1,6,19,578,7,15,17,14,1437,6,185,3,740
徳　　　島,79,56,32,212,42,1774,-,-,5,10,6,88,-,-,3,10,25,302,12,18,32,17,549,3,115,12,694
香　　　川,82,49,24,336,35,3512,1,51,3,5,7,436,-,-,2,12,20,137,10,23,18,14,1337,3,5,6,63
愛　　　媛,117,58,32,912,38,8655,1,29,2,2,7,2005,-,-,4,47,31,838,14,57,32,21,2645,3,23,10,390
高　　　知,55,18,5,21,11,286,1,76,2,13,4,7,-,-,-,-,7,32,2,3,6,2,113,1,32,4,68
福　　　岡,425,168,75,525,114,7052,1,1695,11,18,17,440,2,41,7,17,75,593,14,20,54,36,1830,9,213,15,533
佐　　　賀,129,68,34,369,41,3216,3,36,4,5,4,20,-,-,1,25,20,186,11,35,23,13,458,2,5,7,333
長　　　崎,190,100,49,328,62,3690,1,2,7,12,14,238,-,-,4,19,54,470,19,39,34,17,722,3,35,10,531
熊　　　本,240,125,54,358,76,2995,-,-,6,10,10,183,-,-,5,13,66,447,16,21,39,21,738,9,233,13,438
大　　　分,209,102,50,447,71,4844,-,-,6,17,6,283,-,-,3,31,42,333,19,34,43,29,1334,10,131,12,305
宮　　　崎,131,58,35,163,30,2207,1,75,3,3,5,47,1,298,1,6,31,294,10,14,17,13,821,5,19,4,219
鹿　児　島,270,144,79,626,97,5029,-,-,13,74,17,360,-,-,9,64,61,640,23,39,62,35,1427,12,295,31,1150
沖　　　縄,60,13,7,92,10,582,-,-,-,-,1,1,-,-,-,-,5,67,2,4,3,2,245,-,-,1,64
（再掲）指定都市・特別区, , , , , , , , , , , , , , , , , , , , , , , , , , , 
東京都の区部,215,39,26,1203,30,8573,2,228,2,14,6,85,1,20,4,297,22,1875,17,101,25,21,4198,2,77,4,297
札幌市,132,26,10,165,11,3419,1,1,-,-,3,30,-,-,1,27,13,599,2,15,10,4,260,1,20,3,265
仙台市,38,6,3,435,3,991,-,-,1,1,1,3,-,-,-,-,3,152,2,33,2,2,220,-,-,-,-
さいたま市,26,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
千葉市,27,5,3,30,3,1138,-,-,-,-,-,-,-,-,1,1,5,44,1,8,3,3,1150,1,36,-,-
横浜市,64,10,3,63,4,1278,1,7,-,-,-,-,-,-,-,-,6,94,3,13,5,4,624,-,-,-,-
