令和５年,医療施設調査,令和５（２０２３）年１０月１日,
二次医療圏編　第２４表　一般診療所数，在宅療養支援診療所の届出状況・二次医療圏別
,総数,在宅療養支援診療所,,
,,届出施設数,連携保険医療機関等の数,受け持つ在宅療養患者の数
,,,,
34　　広島県　,2521,549,1360,14520
3401　広島　　　　　　　　,1352,279,698,8415
3402　広島西　　　　　　　,120,25,84,642
3403　呉　　　　　　　　　,227,41,90,1371
3404　広島中央　　　　　　,166,47,116,395
3405　尾三　　　　　　　　,188,58,140,1066
3406　福山・府中　　　　　,381,80,168,2400
3407　備北　　　　　　　　,87,19,64,231
35　　山口県　,1194,144,291,5424
3501　岩国　　　　　　　　,122,10,16,600
3502　柳井　　　　　　　　,66,14,27,333
3503　周南　　　　　　　　,197,16,23,391
3504　山口・防府　　　　　,246,31,94,1574
3505　宇部・小野田　　　　,228,38,65,1175
3506　下関　　　　　　　　,260,29,51,1188
3507　長門　　　　　　　　,25,2,8,1
3508　萩　　　　　　　　　,50,4,7,162
36　　徳島県　,688,138,615,2966
3601　東部　　　　　　　　,497,96,512,2372
3603　南部　　　　　　　　,123,29,64,378
3605　西部　　　　　　　　,68,13,39,216
37　　香川県　,816,130,289,3693
3702　小豆　　　　　　　　,17,2,4,196
3706　東部　　　　　　　　,483,73,147,2441
3707　西部　　　　　　　　,316,55,138,1056
38　　愛媛県　,1175,198,503,9346
3801　宇摩　　　　　　　　,53,5,12,179
3802　新居浜・西条　　　　,162,24,51,1021
3803　今治　　　　　　　　,115,17,32,515
3804　松山　　　　　　　　,584,106,280,5869
3805　八幡浜・大洲　　　　,151,29,87,1083
3806　宇和島　　　　　　　,110,17,41,679
39　　高知県　,514,43,137,2825
3901　安芸　　　　　　　　,36,4,10,45
3902　中央　　　　　　　　,382,32,112,2529
3903　高幡　　　　　　　　,36,2,5,208
3904　幡多　　　　　　　　,60,5,10,43
40　　福岡県　,4806,767,2021,34878
4001　福岡・糸島　　　　　,1779,246,725,17889
4002　粕屋　　　　　　　　,192,28,59,708
4003　宗像　　　　　　　　,117,18,42,1752
4004　筑紫　　　　　　　　,313,39,149,1442
4005　朝倉　　　　　　　　,75,30,93,371
4006　久留米　　　　　　　,431,81,183,1581
4007　八女・筑後　　　　　,121,27,61,293
4008　有明　　　　　　　　,200,39,100,821
4009　飯塚　　　　　　　　,164,22,39,337
4010　直方・鞍手　　　　　,100,18,33,754
4011　田川　　　　　　　　,113,17,28,763
4012　北九州　　　　　　　,1044,180,466,7479
4013　京築　　　　　　　　,157,22,43,688
41　　佐賀県　,693,123,299,6482
4101　中部　　　　　　　　,309,44,98,2452
4102　東部　　　　　　　　,108,27,73,1801
4103　北部　　　　　　　　,105,23,74,1215
4104　西部　　　　　　　　,59,6,6,235
4105　南部　　　　　　　　,112,23,48,779
42　　長崎県　,1317,259,709,6802
4201　長崎　　　　　　　　,589,132,364,3336
4202　佐世保県北　　　　　,260,41,121,1674
4203　県央　　　　　　　　,246,58,149,1299
4204　県南　　　　　　　　,113,22,48,278
4206　五島　　　　　　　　,38,2,13,149
4207　上五島　　　　　　　,22,-,-,-
4208　壱岐　　　　　　　　,15,3,13,64
4209　対馬　　　　　　　　,34,1,1,2
43　　熊本県　,1470,224,606,8075
4302　宇城　　　　　　　　,71,12,30,828
4303　有明　　　　　　　　,118,26,139,514
