令和５年,医療施設調査,令和５（２０２３）年１０月１日,
都道府県編　第６８表　病院数（重複計上）；実施件数，在宅医療サービス・都道府県−指定都市・特別区・中核市（再掲）・精神科病院−一般病院別
注：「実施件数」は令和５年９月中の数である。
,総数,医療保険等による,,,,,,,,,,,,,,,,,,,介護保険による,,,,,,
,,総数,往診,,在宅患者訪問診療,,歯科訪問診療,,救急搬送診療,,在宅患者訪問看護・指導,,精神科在宅患者訪問看護・指導,,在宅患者訪問リハビリテーション指導管理,,訪問看護ステーションへの指示書の交付,,在宅看取り,,総数,居宅療養管理指導（介護予防サービスを含む）,,訪問看護（介護予防サービスを含む）,,訪問リハビリテーション（介護予防サービスを含む）,
,,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,実施件数,施設数,施設数,実施件数,施設数,実施件数,施設数,実施件数
,,,,,,,,,,,,,,,,,,,,,,,,,,,
総数
甲府市,14,5,1,3,2,13,-,-,-,-,1,2,-,-,1,3,4,140,-,-,3,1,3,1,72,3,177
長野市,24,14,3,58,7,1094,-,-,-,-,-,-,3,803,-,-,10,454,3,13,8,4,525,6,2454,6,2347
松本市,16,13,10,137,9,380,2,69,5,186,2,70,3,77,3,539,12,442,4,5,8,1,2,6,1687,5,1298
岐阜市,31,22,11,132,12,1439,3,628,2,14,-,-,2,16,1,5,15,723,7,15,14,9,744,7,1414,9,387
豊橋市,21,13,3,76,5,99,1,328,1,11,2,14,1,246,1,100,8,453,1,4,4,2,74,1,118,3,868
豊田市,18,11,2,239,5,1377,1,3,3,38,2,57,1,188,3,124,9,728,2,33,5,3,553,3,402,4,376
岡崎市,14,8,3,30,3,167,-,-,1,2,1,3,1,132,2,59,4,48,-,-,5,2,84,2,233,5,1493
一宮市,15,8,3,19,3,96,-,-,3,22,3,239,1,10,1,141,6,130,1,1,5,1,17,2,443,3,397
大津市,15,9,4,79,6,586,1,339,-,-,-,-,1,6,3,42,6,185,3,10,6,2,899,2,455,5,381
高槻市,17,13,4,89,3,546,-,-,1,2,-,-,1,251,2,471,11,357,1,5,4,2,401,-,-,2,471
東大阪市,21,11,4,137,7,1094,-,-,1,2,2,19,1,1,1,18,7,399,4,10,6,3,197,1,11,4,106
豊中市,19,13,4,24,6,227,-,-,2,10,1,4,1,255,1,18,7,434,2,3,4,2,81,1,19,2,430
枚方市,24,17,6,194,12,2065,-,-,3,33,1,5,1,378,2,13,15,767,3,10,7,5,874,2,239,2,505
八尾市,11,8,5,80,6,723,1,9,1,10,1,10,1,972,1,4,5,79,3,4,6,2,187,-,-,6,517
寝屋川市,14,12,6,19,10,588,1,8,4,32,2,34,-,-,-,-,7,421,3,3,8,5,309,-,-,5,353
吹田市,15,12,3,57,5,886,-,-,3,50,2,187,1,22,3,28,9,397,1,1,6,4,447,3,122,3,1101
姫路市,34,26,11,135,14,1571,-,-,2,17,-,-,2,124,4,35,21,1028,4,7,11,8,1080,2,439,8,1619
西宮市,25,15,4,9,6,462,1,3,3,16,-,-,1,11,1,33,12,313,3,5,3,-,-,-,-,2,1382
尼崎市,23,16,7,87,10,240,-,-,3,49,-,-,-,-,1,13,11,475,2,3,10,2,22,3,31,6,347
明石市,21,16,2,877,10,518,-,-,-,-,-,-,1,651,1,14,11,336,2,5,11,4,55,4,135,8,807
奈良市,22,14,4,44,11,872,-,-,3,11,1,14,-,-,2,14,8,554,3,4,9,3,260,1,12,7,1294
和歌山市,37,25,14,297,17,1930,-,-,4,100,-,-,3,396,1,1,15,505,6,17,20,10,599,3,62,12,727
鳥取市,12,9,1,12,2,68,1,2,-,-,1,68,3,180,1,6,5,67,1,1,5,-,-,2,178,4,395
松江市,11,6,2,4,2,89,1,238,1,3,-,-,2,420,1,1,4,85,-,-,4,3,104,-,-,2,31
倉敷市,36,28,16,544,17,1864,2,7,6,54,4,155,2,477,1,10,22,756,6,13,17,12,1203,7,656,9,1333
福山市,40,28,16,105,14,1514,1,46,6,80,4,111,2,227,5,27,21,488,8,15,16,10,537,7,299,11,380
呉市,26,18,3,17,7,89,1,16,-,-,1,233,2,917,-,-,8,86,-,-,6,2,3,3,358,5,1878
下関市,24,15,5,25,7,373,1,192,2,4,3,225,1,73,3,54,9,154,-,-,9,1,77,3,273,7,1531
高松市,33,22,8,83,13,597,1,4,4,38,3,138,2,77,1,21,17,337,3,9,13,4,294,3,448,8,839
松山市,41,30,12,83,18,2157,-,-,5,13,6,246,3,411,-,-,24,1848,8,27,13,6,521,5,627,5,529
高知市,59,31,11,162,17,967,-,-,5,90,4,119,1,1,2,32,16,414,5,9,16,7,492,5,670,13,1244
久留米市,32,18,5,36,9,457,1,36,2,6,2,16,3,370,3,29,12,259,1,2,10,4,234,4,79,8,291
長崎市,43,28,10,50,17,592,1,6,3,12,3,276,5,461,6,126,16,356,3,5,17,4,109,6,430,12,2058
佐世保市,24,17,3,6,9,475,-,-,1,38,2,10,5,334,-,-,9,160,2,2,6,1,46,1,187,5,426
大分市,53,29,12,327,15,2840,-,-,2,13,2,3,8,574,3,20,17,1665,6,18,14,7,1799,4,234,11,2251
宮崎市,36,22,9,72,11,845,-,-,4,31,1,11,3,312,1,8,17,1179,5,10,8,5,164,3,795,5,1104
鹿児島市,85,59,23,253,45,2036,-,-,3,169,3,72,8,1416,9,188,39,490,5,6,38,19,993,5,283,33,4075
那覇市,17,11,3,19,4,261,1,14,-,-,2,31,1,625,2,692,5,39,1,1,6,2,142,1,4,5,359
精神科病院
全　　　　　国,1057,731,89,1964,125,5562,8,122,6,11,23,3336,466,66957,5,938,362,17004,5,17,35,15,474,11,290,8,360
北　海　道,70,46,6,137,6,257,-,-,1,1,-,-,32,6747,-,-,13,165,-,-,3,2,176,1,41,1,8
青　　　森,17,11,2,16,3,139,-,-,-,-,-,-,9,854,-,-,6,599,1,4,1,1,83,-,-,-,-
岩　　　手,15,11,1,1,1,23,-,-,-,-,-,-,7,574,-,-,3,325,-,-,1,-,-,1,5,-,-
宮　　　城,27,19,-,-,1,114,-,-,-,-,1,60,13,1362,-,-,8,202,-,-,1,1,31,-,-,-,-
秋　　　田,16,7,1,1,-,-,-,-,-,-,1,52,4,107,-,-,1,19,-,-,1,-,-,1,100,-,-
山　　　形,14,13,2,578,1,116,-,-,-,-,1,13,12,1571,-,-,7,52,-,-,1,-,-,1,43,-,-
福　　　島,23,13,1,2,3,106,1,3,-,-,1,265,8,572,-,-,9,359,-,-,-,-,-,-,-,-,-
茨　　　城,20,8,-,-,1,17,-,-,-,-,1,1,7,667,-,-,2,53,-,-,-,-,-,-,-,-,-
栃　　　木,19,9,-,-,2,130,-,-,-,-,1,93,7,966,-,-,3,107,-,-,1,-,-,-,-,-,-
群　　　馬,13,10,-,-,-,-,-,-,-,-,1,144,9,1341,-,-,4,261,-,-,1,-,-,-,-,-,-
埼　　　玉,46,26,5,164,3,500,1,11,-,-,-,-,16,3004,-,-,17,624,-,-,2,-,-,1,18,-,-
千　　　葉,33,22,2,95,5,175,-,-,-,-,1,25,15,2725,-,-,13,285,-,-,-,-,-,-,-,-,-
東　　　京,49,28,8,68,10,831,-,-,-,-,1,10,16,2997,1,99,15,687,-,-,2,1,2,-,-,1,260
神　奈　川,45,30,3,7,4,169,-,-,-,-,1,530,19,2321,-,-,16,599,-,-,-,-,-,-,-,-,-
新　　　潟,19,14,-,-,3,153,-,-,-,-,-,-,10,1143,-,-,9,129,-,-,1,-,-,1,23,-,-
富　　　山,19,15,3,4,3,27,-,-,1,1,2,139,11,791,-,-,6,21,-,-,-,-,-,-,-,-,-
石　　　川,13,10,2,3,3,150,-,-,-,-,-,-,5,329,-,-,6,123,-,-,-,-,-,-,-,-,-
福　　　井,10,6,1,344,1,25,1,15,-,-,-,-,4,476,-,-,5,121,-,-,1,-,-,1,32,-,-
山　　　梨,8,4,1,1,-,-,-,-,-,-,-,-,2,99,-,-,2,318,-,-,-,-,-,-,-,-,-
長　　　野,15,9,-,-,1,11,1,4,-,-,1,2,6,928,-,-,5,70,-,-,1,-,-,1,1,-,-
岐　　　阜,12,11,-,-,1,62,-,-,-,-,-,-,8,1171,-,-,4,393,-,-,-,-,-,-,-,-,-
静　　　岡,31,21,1,16,2,198,-,-,-,-,-,-,12,1234,-,-,11,265,-,-,-,-,-,-,-,-,-
愛　　　知,36,28,6,74,5,363,-,-,-,-,-,-,17,4168,2,6,12,627,1,3,2,2,60,-,-,-,-
三　　　重,12,11,1,6,1,4,-,-,-,-,1,142,5,574,-,-,9,370,-,-,2,1,3,1,1,1,12
滋　　　賀,7,5,2,4,2,5,-,-,-,-,-,-,4,340,-,-,3,85,1,3,-,-,-,-,-,-,-
京　　　都,11,7,-,-,1,3,-,-,-,-,-,-,5,648,-,-,4,137,-,-,-,-,-,-,-,-,-
大　　　阪,39,27,4,58,11,558,-,-,-,-,1,8,11,2085,-,-,19,2090,1,6,1,-,-,1,19,-,-
兵　　　庫,32,24,4,9,1,124,-,-,-,-,-,-,14,1813,-,-,18,856,-,-,-,-,-,-,-,-,-
奈　　　良,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,42,-,-,-,-,-,-,-,-,-
和　歌　山,8,6,1,2,2,26,-,-,1,2,-,-,6,977,-,-,3,41,-,-,-,-,-,-,-,-,-
鳥　　　取,4,3,-,-,1,28,-,-,-,-,-,-,2,125,-,-,1,2,-,-,-,-,-,-,-,-,-
島　　　根,9,8,1,3,1,61,-,-,-,-,1,117,6,655,-,-,4,123,-,-,-,-,-,-,-,-,-
岡　　　山,16,12,5,24,3,63,2,29,1,2,-,-,8,1244,1,189,5,157,-,-,1,-,-,-,-,-,-
広　　　島,31,25,6,25,3,101,2,60,1,1,-,-,14,3495,-,-,17,1787,-,-,4,2,44,-,-,2,11
山　　　口,27,19,1,249,1,38,-,-,-,-,-,-,16,2437,-,-,8,82,-,-,-,-,-,-,-,-,-
徳　　　島,15,9,-,-,2,48,-,-,1,4,-,-,4,887,-,-,2,11,-,-,1,1,6,-,-,-,-
香　　　川,11,10,1,5,3,198,-,-,-,-,1,57,8,1365,-,-,5,194,-,-,1,1,45,-,-,-,-
愛　　　媛,13,11,-,-,3,30,-,-,-,-,-,-,6,925,-,-,6,874,-,-,-,-,-,-,-,-,-
高　　　知,11,5,-,-,1,7,-,-,-,-,-,-,2,12,-,-,3,64,-,-,-,-,-,-,-,-,-
福　　　岡,63,46,5,33,8,242,-,-,-,-,2,935,28,3643,-,-,20,1209,-,-,3,2,13,1,7,2,9
佐　　　賀,13,11,2,4,2,77,-,-,-,-,-,-,2,177,-,-,8,286,-,-,-,-,-,-,-,-,-
長　　　崎,28,19,-,-,2,34,-,-,-,-,1,64,14,1245,-,-,6,252,-,-,1,-,-,-,-,1,60
熊　　　本,39,31,4,8,6,150,-,-,-,-,1,228,16,1367,-,-,18,691,-,-,1,1,11,-,-,-,-
大　　　分,25,17,1,2,2,25,-,-,-,-,-,-,14,1548,-,-,6,138,-,-,-,-,-,-,-,-,-
